run,sample_count,macro_suite_normalized_action_l1,relative_improvement_vs_baseline,first_action_step_l1,spatial_l1,object_l1,train_steps,train_elapsed_sec
official_baseline,640,0.16450008009851444,0.0,0.15692020013302682,0.051142360764788466,0.2778577994322404,,
head_proprio_sft_step250,640,0.1370581550174393,0.16682013203057994,0.1270250175060937,0.06598776932805776,0.2081285407068208,1000,3455.340829849243
head_proprio_distill_step250,640,0.1350256758450996,0.1791756225028185,0.1253379559406312,0.06305788598256186,0.20699346570763738,500,2073.372981786728
